yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,date
2015,7,1,0,15,70,13.4,-999,4.97894,46.1537,0.125732,0.215722,259.081,2015-07-01
2015,7,1,0,45,70,13.4,-999,4.77115,18.1297,0.118665,0.110155,255.736,2015-07-01
2015,7,1,1,15,70,13.4,-999,4.15833,-85.8692,0.526604,0.12782,241.631,2015-07-01
2015,7,1,1,45,70,13.4,-999,4.3011,43.3109,0.130377,0.179115,226.605,2015-07-01
2015,7,1,2,15,70,13.4,-999,4.14442,184.258,0.815467,0.346953,245.202,2015-07-01
2015,7,1,2,45,70,13.4,-999,3.19718,163.524,0.327389,0.263257,264.286,2015-07-01
2015,7,1,3,15,70,13.4,-999,3.16383,825.561,0.40551,0.341728,270.809,2015-07-01
2015,7,1,3,45,70,13.4,-999,3.29954,1908.6,0.407275,0.380937,279.249,2015-07-01
2015,7,1,4,15,70,13.4,-999,3.3318,-1975.23,0.468786,0.430466,274.553,2015-07-01
2015,7,1,4,45,70,13.4,-999,3.4129,-824.735,0.575944,0.437397,271.151,2015-07-01
2015,7,1,5,15,70,13.4,-999,3.51113,-308.148,0.808135,0.425885,274.204,2015-07-01
2015,7,1,5,45,70,13.4,-999,4.2826,-498.818,0.687072,0.571853,280.419,2015-07-01
2015,7,1,6,15,70,13.4,-999,4.46468,-699.448,1.03923,0.8571,274.916,2015-07-01
2015,7,1,6,45,70,13.4,-999,3.86256,-355.033,1.15372,0.736148,274.516,2015-07-01
2015,7,1,7,15,70,13.4,-999,3.7038,-197.166,0.984713,0.65533,291.871,2015-07-01
2015,7,1,7,45,70,13.4,-999,4.33014,-444.978,1.26934,0.93387,303.284,2015-07-01
2015,7,1,8,15,70,13.4,-999,4.33729,-230.912,1.35624,0.631484,321.964,2015-07-01
2015,7,1,8,45,70,13.4,-999,3.55637,-264.444,1.31319,0.652028,339.404,2015-07-01
2015,7,1,9,15,70,13.4,-999,2.70057,-194.776,1.34994,0.606051,318.842,2015-07-01
2015,7,1,9,45,70,13.4,-999,3.55501,292.579,1.02715,0.359709,354.97,2015-07-01
2015,7,1,10,15,70,13.4,-999,3.14764,-135.376,0.841769,0.577612,342.153,2015-07-01
2015,7,1,10,45,70,13.4,-999,3.74032,-153.182,2.0679,0.697353,296.043,2015-07-01
2015,7,1,11,15,70,13.4,-999,4.28562,-130.787,0.979555,0.430755,302.646,2015-07-01
2015,7,1,11,45,70,13.4,-999,4.66921,-245.781,1.53237,0.729986,308.975,2015-07-01
2015,7,1,12,15,70,13.4,-999,3.89458,476.096,0.369362,0.4083,341.044,2015-07-01
2015,7,1,12,45,70,13.4,-999,4.70917,1384.85,0.734749,0.498905,340.504,2015-07-01
2015,7,1,13,15,70,13.4,-999,4.75929,18914.4,0.706842,0.516,342.035,2015-07-01
2015,7,1,13,45,70,13.4,-999,5.23948,-1361.2,1.86936,0.676003,337.524,2015-07-01
2015,7,1,14,15,70,13.4,-999,5.06277,974.899,0.879271,0.630316,329.732,2015-07-01
2015,7,1,14,45,70,13.4,-999,5.6005,1405.03,1.27892,0.605798,338.828,2015-07-01
2015,7,1,15,15,70,13.4,-999,5.07921,4153.37,1.01602,0.754154,344.665,2015-07-01
2015,7,1,15,45,70,13.4,-999,4.72838,1480.34,0.829091,0.642445,345.431,2015-07-01
2015,7,1,16,15,70,13.4,-999,4.2058,13495.7,0.919331,0.454863,345.389,2015-07-01
2015,7,1,16,45,70,13.4,-999,4.90606,8676.97,0.917824,0.69868,350.236,2015-07-01
2015,7,1,17,15,70,13.4,-999,4.61759,307.271,0.557756,0.438347,348.106,2015-07-01
2015,7,1,17,45,70,13.4,-999,4.27926,95.8743,0.190002,0.259101,338.697,2015-07-01
2015,7,1,18,15,70,13.4,-999,3.01603,26.0496,0.101985,0.110089,332.049,2015-07-01
2015,7,1,18,45,70,13.4,-999,2.89349,20.7528,0.04249,0.0511948,321.033,2015-07-01
2015,7,1,19,15,70,13.4,-999,3.41989,-185.291,0.12529,0.0766526,307.043,2015-07-01
2015,7,1,19,45,70,13.4,-999,4.91843,136.135,0.367713,0.129341,302.147,2015-07-01
2015,7,1,20,15,70,13.4,-999,5.24342,-44.0815,0.0563267,0.0553824,290.402,2015-07-01
2015,7,1,20,45,70,13.4,-999,5.79348,21.0162,0.366819,0.130054,296.995,2015-07-01
2015,7,1,21,15,70,13.4,-999,5.95763,30.3431,0.0411477,0.085403,298.724,2015-07-01
2015,7,1,21,45,70,13.4,-999,4.60205,46.0704,0.200554,0.0648281,307.713,2015-07-01
2015,7,1,22,15,70,13.4,-999,5.58233,-16.1916,0.0951302,0.0738474,307.594,2015-07-01
2015,7,1,22,45,70,13.4,-999,5.89387,4.43295,0.063446,0.0512549,306.918,2015-07-01
2015,7,1,23,15,70,13.4,-999,5.84409,-64.286,0.0634156,0.0442329,309.412,2015-07-01
2015,7,1,23,45,70,13.4,-999,5.47562,94.653,0.152319,0.0531999,309.566,2015-07-01
