yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,date
2015,7,8,0,15,70,13.4,-999,5.29407,843.062,1.62198,0.679911,224.847,2015-07-08
2015,7,8,0,45,70,13.4,-999,5.14935,1137.76,1.27031,0.623401,227.603,2015-07-08
2015,7,8,1,15,70,13.4,-999,5.33851,451.585,1.08968,0.507867,219.268,2015-07-08
2015,7,8,1,45,70,13.4,-999,5.08884,313.622,0.81291,0.450874,221.224,2015-07-08
2015,7,8,2,15,70,13.4,-999,4.58522,208.28,0.686362,0.352074,220.84,2015-07-08
2015,7,8,2,45,70,13.4,-999,4.77134,571.961,0.718162,0.450178,207.184,2015-07-08
2015,7,8,3,15,70,13.4,-999,4.57042,3677.89,0.720042,0.508548,208.443,2015-07-08
2015,7,8,3,45,70,13.4,-999,4.69622,1899.35,0.792637,0.441275,208.718,2015-07-08
2015,7,8,4,15,70,13.4,-999,4.59511,-20823.5,0.799936,0.485852,204.634,2015-07-08
2015,7,8,4,45,70,13.4,-999,3.82799,-1422.88,0.589233,0.445997,208.02,2015-07-08
2015,7,8,5,15,70,13.4,-999,4.00452,-261.733,0.623802,0.462758,205.807,2015-07-08
2015,7,8,5,45,70,13.4,-999,3.01701,-551.706,0.581826,0.451506,196.026,2015-07-08
2015,7,8,6,15,70,13.4,-999,3.2778,-260.859,0.53641,0.462352,187.293,2015-07-08
2015,7,8,6,45,70,13.4,-999,3.54069,-273.465,0.339373,0.327232,178.371,2015-07-08
2015,7,8,7,15,70,13.4,-999,3.11595,-328.412,0.411492,0.356401,171.0,2015-07-08
2015,7,8,7,45,70,13.4,-999,3.79368,-426.453,0.496726,0.357224,171.359,2015-07-08
2015,7,8,8,15,70,13.4,-999,4.54115,-698.501,0.665241,0.506702,176.882,2015-07-08
2015,7,8,8,45,70,13.4,-999,4.44638,-445.914,0.73866,0.413623,174.74,2015-07-08
2015,7,8,9,15,70,13.4,-999,3.47835,-303.435,0.732185,0.390675,169.657,2015-07-08
2015,7,8,9,45,70,13.4,-999,3.32482,446.562,0.466824,0.332521,162.728,2015-07-08
2015,7,8,10,15,70,13.4,-999,3.78603,61.6341,0.50226,0.235688,160.701,2015-07-08
2015,7,8,10,45,70,13.4,-999,2.847,215.333,0.334025,0.2195,168.638,2015-07-08
2015,7,8,11,15,70,13.4,-999,2.87443,39951.1,0.44889,0.415019,150.437,2015-07-08
2015,7,8,11,45,70,13.4,-999,3.55299,1223.45,0.513374,0.463029,127.969,2015-07-08
2015,7,8,12,15,70,13.4,-999,4.01936,20155.2,0.711877,0.583552,111.814,2015-07-08
2015,7,8,12,45,70,13.4,-999,4.43945,1691.25,0.846381,0.584142,115.392,2015-07-08
2015,7,8,13,15,70,13.4,-999,5.21734,-1451.85,1.28145,0.708571,120.467,2015-07-08
2015,7,8,13,45,70,13.4,-999,5.96132,-1502.39,2.21969,0.899546,118.915,2015-07-08
2015,7,8,14,15,70,13.4,-999,6.76354,6853.9,1.29473,0.737562,116.835,2015-07-08
2015,7,8,14,45,70,13.4,-999,7.06306,-35496.6,1.52863,0.739723,120.637,2015-07-08
2015,7,8,15,15,70,13.4,-999,6.28991,2314.13,1.3038,0.655757,126.111,2015-07-08
2015,7,8,15,45,70,13.4,-999,5.50821,7688.77,0.965328,0.603021,129.5,2015-07-08
2015,7,8,16,15,70,13.4,-999,5.75744,-1091.26,0.902214,0.597816,124.439,2015-07-08
2015,7,8,16,45,70,13.4,-999,5.12891,-922.806,1.58199,0.6211,131.549,2015-07-08
2015,7,8,17,15,70,13.4,-999,5.25137,1693.08,0.56374,0.499012,124.191,2015-07-08
2015,7,8,17,45,70,13.4,-999,4.42958,388.97,0.40193,0.43755,130.8,2015-07-08
2015,7,8,18,15,70,13.4,-999,3.81667,212.243,0.293913,0.304968,128.314,2015-07-08
2015,7,8,18,45,70,13.4,-999,3.42997,71.4091,0.24669,0.186854,133.935,2015-07-08
2015,7,8,19,15,70,13.4,-999,4.39309,65.6269,0.593327,0.228826,145.709,2015-07-08
2015,7,8,19,45,70,13.4,-999,4.8566,54.5325,1.36403,0.283465,177.383,2015-07-08
2015,7,8,20,15,70,13.4,-999,4.12564,74.4411,0.409791,0.281978,198.91,2015-07-08
2015,7,8,20,45,70,13.4,-999,4.94788,68.8778,0.874488,0.300761,205.917,2015-07-08
2015,7,8,21,15,70,13.4,-999,4.85557,178.63,0.717039,0.402903,226.108,2015-07-08
2015,7,8,21,45,70,13.4,-999,5.37268,490.232,1.08763,0.591749,243.212,2015-07-08
2015,7,8,22,15,70,13.4,-999,4.56562,483.31,0.757664,0.53137,241.262,2015-07-08
2015,7,8,22,45,70,13.4,-999,4.29034,169.642,0.52949,0.382301,225.397,2015-07-08
2015,7,8,23,15,70,13.4,-999,4.39378,300.688,0.588947,0.493404,226.066,2015-07-08
2015,7,8,23,45,70,13.4,-999,4.40835,352.409,0.988656,0.527545,232.919,2015-07-08
2015,7,9,0,15,70,13.4,-999,4.09331,138.528,0.983196,0.3401,202.894,2015-07-09
